id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,formation_place,accurate_back_zone_pass,accurate_cross,accurate_cross_nocorner,accurate_fwd_zone_pass,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_centre,att_bx_left,att_bx_right,att_cmiss_high,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_miss,att_freekick_total,att_goal_high_right,att_goal_low_centre,att_goal_low_left,att_goal_low_right,att_hd_goal,att_hd_miss,att_hd_target,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_miss,att_ibox_target,att_lf_goal,att_lf_target,att_lf_total,att_miss_high,att_miss_high_left,att_miss_high_right,att_miss_left,att_miss_right,att_obox_blocked,att_obox_goal,att_obox_miss,att_obox_target,att_obxd_left,att_obx_centre,att_openplay,att_rf_goal,att_rf_target,att_rf_total,att_setpiece,att_sv_high_centre,att_sv_high_left,att_sv_high_right,att_sv_low_centre,att_sv_low_left,att_sv_low_right,blocked_scoring_att,challenge_lost,clean_sheet,corner_taken,crosses_18yard,crosses_18yardplus,draws,duel_lost,duel_won,effective_clearance,final_third_entries,fouled_final_third,fouls,game_started,goals,goals_conceded,goals_conceded_ibox,goals_conceded_obox,goals_openplay,goal_assist,goal_assist_openplay,goal_fastbreak,hand_ball,head_pass,interception,interception_won,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,pen_goals_conceded,poss_lost_all,poss_lost_ctrl,shot_fastbreak,shot_off_target,six_yard_block,successful_final_third_passes,successful_open_play_pass,total_att_assist,total_back_zone_pass,total_clearance,total_contest,total_cross,total_cross_nocorner,total_fastbreak,total_final_third_passes,total_fwd_zone_pass,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_corners_intobox,freekick_cross,goal_assist_deadball,goal_assist_setplay,interceptions_in_box,total_corners_intobox,attempts_ibox,attempts_obox,att_cmiss_high_right,att_corner,att_goal_high_left,att_ibox_post,att_lg_left,att_obx_left,att_pen_goal,att_pen_target,att_post_right,hit_woodwork,penalty_won,post_scoring_att,touches_in_opp_box,accurate_freekick_cross,accurate_goal_kicks,clearance_off_line,goal_kicks,att_goal_high_centre,att_lg_centre,penalty_conceded,att_cmiss_high_left,att_hd_post,att_post_high,dangerous_play,own_goals,red_card,total_chipped_pass,att_post_left,att_freekick_target,att_obox_post,second_yellow,att_obx_right,accurate_keeper_throws,ball_recovery,dive_catch,dive_save,good_high_claim,keeper_throws,penalty_faced,penalty_save,punches,saved_ibox,saved_obox,saves,stand_catch,stand_save,total_high_claim,att_lg_right,last_man_tackle,att_obxd_right,att_freekick_goal,att_pen_post,back_pass,att_pen_miss,unsuccessful_touch,leftside_pass,att_obp_goal,fwd_pass,att_freekick_post,rescinded_red_card,accurate_chipped_pass,rightside_pass
2863,27491.0,Zac Jones,Zac,Jones,1988-11-24,England,England,21.0,G,Goalkeeper,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,10889.0,Stephen Jordan,Stephen,Jordan,1982-03-06,England,England,4.0,D,Left Full Back,15,36.0,141.0,3.0,3.0,159.0,21.0,297.0,71.0,4.0,6.0,13.0,75.0,80.0,7.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,1.0,,,3.0,,,,,3.0,4.0,,,2.0,,,,,,,,3.0,16.0,3.0,,4.0,17.0,2.0,37.0,56.0,24.0,97.0,1.0,19.0,12.0,,18.0,13.0,5.0,,,,,2.0,,4.0,4.0,135.0,82.0,6.0,8.0,1040.0,3.0,4.0,,,5.0,111.0,11.0,27.0,,175.0,165.0,,1.0,,62.0,,7.0,180.0,34.0,3.0,21.0,21.0,,108.0,250.0,56.0,1.0,409.0,4.0,1.0,1.0,40.0,98.0,638.0,11.0,7.0,5.0,3.0,1.0,33.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,16399.0,Pierre Joseph-Dubois,Pierre,Joseph-Dubois,1988-02-12,France,France,7.0,M,Winger,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,53180.0,Julio Baptista,Julio César,Pereira Baptista,1981-10-01,Brazil,Brazil,,F,Centre Striker,15,105.0,87.0,2.0,2.0,291.0,16.0,376.0,1.0,21.0,14.0,24.0,65.0,62.0,18.0,,17.0,4.0,2.0,3.0,6.0,2.0,5.0,3.0,5.0,,,2.0,1.0,1.0,5.0,,6.0,7.0,3.0,8.0,5.0,,2.0,7.0,4.0,,3.0,11.0,4.0,6.0,,14.0,2.0,,22.0,38.0,2.0,5.0,32.0,1.0,,1.0,,3.0,1.0,2.0,13.0,57.0,1.0,,6.0,3.0,6.0,122.0,81.0,6.0,77.0,11.0,27.0,11.0,3.0,11.0,6.0,5.0,3.0,2.0,2.0,1.0,3.0,1.0,,,31.0,20.0,5.0,1.0,1131.0,11.0,9.0,10.0,19.0,,69.0,67.0,24.0,,152.0,147.0,5.0,22.0,,183.0,12.0,20.0,112.0,11.0,46.0,9.0,9.0,5.0,263.0,390.0,31.0,7.0,493.0,45.0,6.0,13.0,12.0,1.0,669.0,40.0,29.0,13.0,26.0,13.0,10.0,,,,,,,,1.0,2.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3306,4469.0,Junior,Junior,Juinor,1976-07-20,Brazil,Brazil,,F,Forward,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3273,26464.0,Steve Kabba,Steve,Kabba,1981-03-07,England,England,9.0,F,Forward,15,55.0,33.0,5.0,5.0,81.0,7.0,109.0,2.0,5.0,1.0,18.0,70.0,60.0,8.0,1.0,7.0,2.0,1.0,,,2.0,,,,,,,,,1.0,2.0,3.0,1.0,,4.0,5.0,,1.0,3.0,,1.0,,,3.0,2.0,,,1.0,,3.0,13.0,,3.0,7.0,,1.0,,,3.0,1.0,1.0,3.0,21.0,,,13.0,4.0,2.0,51.0,30.0,1.0,21.0,6.0,16.0,6.0,,12.0,8.0,4.0,,2.0,2.0,,,2.0,4.0,4.0,7.0,3.0,12.0,2.0,727.0,3.0,8.0,6.0,22.0,,13.0,37.0,11.0,1.0,73.0,72.0,,4.0,,47.0,17.0,11.0,42.0,2.0,14.0,17.0,17.0,,78.0,134.0,13.0,8.0,159.0,13.0,5.0,12.0,14.0,2.0,250.0,21.0,10.0,4.0,5.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,48805.0,Salomon Kalou,Salomon,Kalou,1985-08-05,Cote D’Ivoire,Cote D’Ivoire,8.0,M,Left/Centre/Right Attacking Midfielder,15,191.0,122.0,3.0,3.0,286.0,9.0,405.0,5.0,28.0,10.0,33.0,110.0,103.0,27.0,,22.0,9.0,3.0,,1.0,3.0,1.0,,,,1.0,1.0,3.0,3.0,3.0,1.0,7.0,10.0,7.0,13.0,10.0,2.0,2.0,11.0,2.0,7.0,3.0,1.0,5.0,3.0,,5.0,4.0,,12.0,48.0,2.0,11.0,34.0,1.0,2.0,,1.0,4.0,3.0,4.0,13.0,68.0,5.0,1.0,18.0,4.0,9.0,211.0,109.0,9.0,49.0,12.0,47.0,19.0,7.0,15.0,12.0,3.0,6.0,2.0,2.0,,1.0,5.0,8.0,8.0,23.0,12.0,3.0,5.0,1940.0,15.0,14.0,21.0,36.0,1.0,82.0,74.0,39.0,1.0,241.0,235.0,1.0,20.0,3.0,186.0,21.0,29.0,137.0,15.0,114.0,22.0,22.0,1.0,281.0,429.0,16.0,41.0,544.0,54.0,6.0,14.0,32.0,7.0,896.0,84.0,22.0,21.0,45.0,24.0,26.0,,,,,,,,3.0,,1.0,1.0,1.0,2.0,,,,,1.0,3.0,2.0,2.0,15.0,,,,,1.0,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
3255,4386.0,Sheku Kamara,Sheku,Kamara,1987-11-15,England,England,32.0,D,Defender,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1502,96872.0,Kanu,Nwankwo,Kanu,1976-08-01,Nigeria,Nigeria,27.0,F,Centre Second Striker,15,299.0,170.0,7.0,7.0,515.0,50.0,678.0,2.0,28.0,21.0,36.0,213.0,150.0,49.0,1.0,27.0,3.0,5.0,,8.0,2.0,1.0,,,1.0,3.0,2.0,3.0,5.0,7.0,7.0,19.0,5.0,9.0,16.0,11.0,1.0,3.0,10.0,6.0,2.0,5.0,12.0,8.0,5.0,1.0,17.0,9.0,,31.0,71.0,4.0,10.0,45.0,1.0,3.0,1.0,1.0,6.0,5.0,4.0,10.0,99.0,4.0,2.0,24.0,4.0,12.0,232.0,146.0,25.0,122.0,33.0,73.0,32.0,10.0,26.0,22.0,4.0,10.0,2.0,2.0,1.0,3.0,9.0,7.0,7.0,56.0,34.0,10.0,6.0,2732.0,24.0,28.0,30.0,49.0,5.0,146.0,187.0,57.0,5.0,315.0,299.0,1.0,35.0,1.0,347.0,40.0,52.0,190.0,41.0,59.0,28.0,28.0,1.0,516.0,742.0,67.0,28.0,904.0,75.0,22.0,4.0,38.0,3.0,1274.0,83.0,64.0,14.0,23.0,29.0,27.0,3.0,1.0,,,,,2.0,,,,,1.0,2.0,,,,1.0,,2.0,2.0,2.0,,,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,8809.0,Yaniv Katan,Yaniv,Katan,1981-01-27,Israel,Israel,20.0,F,Centre Striker,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,26864.0,Graham Kavanagh,Graham,Kavanagh,1973-12-02,Ireland,Ireland,8.0,M,Midfielder,15,0.0,,,,7.0,,7.0,,,,2.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,,,,,,3.0,1.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,1.0,,15.0,,,1.0,,,1.0,5.0,,,5.0,5.0,1.0,,,6.0,,,,1.0,1.0,,,1.0,10.0,11.0,,,11.0,1.0,,2.0,1.0,,15.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3227,259462.0,Colin Kazim-Richards,Colin,Kazim-Richards,1986-08-26,England,Turkey,13.0,F,Centre Striker,15,141.0,79.0,22.0,12.0,239.0,25.0,296.0,38.0,16.0,10.0,27.0,137.0,89.0,24.0,10.0,5.0,3.0,2.0,,,2.0,3.0,,3.0,1.0,,,,,2.0,1.0,3.0,3.0,,5.0,3.0,,,1.0,1.0,1.0,2.0,5.0,4.0,6.0,1.0,8.0,6.0,,18.0,28.0,1.0,8.0,28.0,1.0,1.0,,,3.0,2.0,3.0,9.0,59.0,2.0,35.0,26.0,24.0,5.0,137.0,99.0,11.0,104.0,7.0,35.0,15.0,1.0,24.0,21.0,3.0,1.0,3.0,2.0,,2.0,5.0,7.0,7.0,50.0,20.0,13.0,7.0,1500.0,19.0,18.0,10.0,36.0,1.0,63.0,76.0,82.0,2.0,260.0,260.0,3.0,13.0,,140.0,26.0,37.0,96.0,11.0,52.0,85.0,55.0,3.0,221.0,402.0,45.0,11.0,413.0,32.0,8.0,12.0,38.0,86.0,780.0,45.0,28.0,9.0,23.0,18.0,29.0,2.0,13.0,5.0,1.0,1.0,2.0,33.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
3081,4140.0,Przemyslaw Kazimierczak,Przemyslaw,Kazimierczak,1988-02-22,Poland,Poland,,G,Goalkeeper,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,6225.0,Robbie Keane,Robbie,Keane,1980-07-08,Ireland,Ireland,20.0,F,Centre Second Striker,15,168.0,129.0,26.0,10.0,332.0,30.0,435.0,10.0,3.0,1.0,27.0,130.0,121.0,19.0,16.0,16.0,6.0,2.0,1.0,3.0,3.0,3.0,,,1.0,2.0,2.0,3.0,1.0,1.0,,2.0,6.0,9.0,7.0,8.0,1.0,,6.0,1.0,1.0,3.0,8.0,4.0,1.0,2.0,10.0,1.0,,14.0,38.0,9.0,9.0,37.0,4.0,,1.0,,4.0,,3.0,7.0,37.0,1.0,31.0,16.0,8.0,6.0,77.0,49.0,7.0,96.0,6.0,14.0,18.0,11.0,26.0,20.0,6.0,7.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,48.0,26.0,9.0,,1651.0,17.0,20.0,20.0,46.0,3.0,110.0,81.0,63.0,4.0,188.0,188.0,3.0,18.0,2.0,187.0,30.0,37.0,136.0,7.0,35.0,63.0,33.0,3.0,276.0,482.0,48.0,20.0,555.0,45.0,8.0,9.0,18.0,12.0,804.0,43.0,19.0,12.0,11.0,18.0,16.0,2.0,16.0,9.0,,,,30.0,,,1.0,,2.0,1.0,,,3.0,,,1.0,,1.0,,5.0,,1.0,,1.0,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,4183.0,Alan Kearney,Alan,Kearney,1987-09-22,Ireland,Ireland,,M,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,4132.0,Mamadi Keita,Mamadi,Keita,1989-11-14,Germany,Germany,,M,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2753,167585.0,Jason Kennedy,Jason,Kennedy,1986-09-11,England,England,28.0,M,Centre Central Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3210,30850.0,Paddy Kenny,Paddy,Kenny,1978-05-17,Ireland,Ireland,13.0,G,Goalkeeper,15,34.0,72.0,,,224.0,249.0,296.0,,,,34.0,260.0,207.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,8.0,,,,7.0,8.0,13.0,35.0,507.0,,1.0,34.0,,46.0,37.0,9.0,,,,,,,1.0,1.0,932.0,342.0,17.0,26.0,3032.0,1.0,1.0,,37.0,,67.0,117.0,59.0,6.0,654.0,649.0,,,,150.0,15.0,2.0,108.0,40.0,,,,,440.0,645.0,684.0,,753.0,,1.0,,2.0,,1277.0,3.0,11.0,10.0,,3.0,2.0,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,143.0,,323.0,,,1.0,,,,,,,,,,,,,100.0,37.0,14.0,48.0,37.0,106.0,7.0,1.0,15.0,62.0,40.0,100.0,24.0,13.0,40.0,,,,,,,,,,,,,,,
3282,102666.0,Kepa,Kepa,Blanco González,1984-01-13,Spain,Spain,17.0,F,Centre Striker,15,9.0,6.0,,,22.0,3.0,28.0,,8.0,3.0,8.0,18.0,18.0,1.0,,3.0,1.0,1.0,,1.0,,,,,,1.0,,,,3.0,,3.0,,1.0,3.0,1.0,,1.0,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,5.0,1.0,,2.0,,,,,,1.0,,,10.0,,,1.0,,,22.0,15.0,2.0,3.0,8.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,,,,1.0,,,,1.0,1.0,6.0,1.0,169.0,1.0,,2.0,,,4.0,3.0,3.0,,15.0,14.0,,4.0,,11.0,,1.0,7.0,3.0,2.0,1.0,1.0,,21.0,34.0,3.0,3.0,40.0,6.0,1.0,7.0,,,64.0,11.0,11.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3219,167569.0,Lloyd Kerry,Lloyd,Kerry,1988-07-22,England,England,17.0,M,Right Winger,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,11879.0,Kevin Davies,Kevin,Davies,1977-03-26,England,England,9.0,F,Centre Striker,15,297.0,111.0,9.0,9.0,375.0,30.0,477.0,12.0,86.0,77.0,30.0,213.0,177.0,20.0,,18.0,,1.0,1.0,3.0,2.0,1.0,,,1.0,1.0,2.0,1.0,2.0,6.0,3.0,11.0,8.0,6.0,7.0,7.0,2.0,,5.0,3.0,1.0,,5.0,3.0,2.0,2.0,5.0,2.0,,11.0,31.0,4.0,6.0,23.0,5.0,3.0,,,5.0,1.0,,10.0,76.0,6.0,,33.0,16.0,6.0,271.0,223.0,34.0,212.0,30.0,91.0,30.0,8.0,38.0,30.0,8.0,5.0,5.0,5.0,,3.0,66.0,8.0,8.0,101.0,32.0,12.0,6.0,2531.0,8.0,17.0,17.0,154.0,1.0,117.0,215.0,87.0,3.0,536.0,527.0,1.0,12.0,2.0,250.0,77.0,25.0,145.0,43.0,32.0,50.0,50.0,1.0,603.0,837.0,77.0,6.0,932.0,39.0,9.0,,63.0,13.0,1274.0,72.0,72.0,12.0,11.0,20.0,53.0,10.0,,1.0,,,,,1.0,1.0,,,2.0,,,,,,,,,,4.0,,,,,1.0,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,99163.0,Harry Kewell,Harry,Kewell,1978-09-22,Australia,Australia,99.0,M,Left/Right Winger,15,0.0,2.0,,,14.0,,16.0,2.0,,1.0,2.0,3.0,2.0,3.0,,1.0,2.0,,,,,,,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,3.0,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0,,1.0,3.0,,1.0,4.0,3.0,,3.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,,46.0,2.0,1.0,2.0,,,7.0,,1.0,,12.0,12.0,,1.0,,10.0,,3.0,3.0,,3.0,4.0,3.0,,13.0,23.0,,,22.0,3.0,,2.0,,2.0,36.0,2.0,1.0,,1.0,3.0,,,,,,,,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2866,122312.0,Zurab Khizanishvili,Zurab,Khizanishvili,1981-10-06,Georgia,Georgia,14.0,D,Defender,15,96.0,351.0,1.0,1.0,124.0,48.0,474.0,23.0,10.0,17.0,18.0,133.0,108.0,4.0,,2.0,,,,1.0,,,,,,,,,,3.0,,3.0,,,3.0,,,,,2.0,,,1.0,,2.0,,,1.0,,3.0,3.0,,1.0,3.0,1.0,,,1.0,,,,2.0,29.0,4.0,1.0,1.0,3.0,3.0,68.0,94.0,84.0,96.0,,29.0,17.0,,20.0,18.0,2.0,,,,,2.0,17.0,23.0,23.0,154.0,75.0,9.0,14.0,1568.0,1.0,3.0,1.0,107.0,11.0,65.0,28.0,21.0,3.0,200.0,171.0,,3.0,,42.0,81.0,4.0,409.0,113.0,4.0,5.0,4.0,,105.0,231.0,103.0,,635.0,6.0,1.0,1.0,60.0,24.0,890.0,5.0,15.0,6.0,2.0,1.0,45.0,6.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1848,5145.0,Dean Kiely,Dean,Kiely,1970-10-10,Ireland,Ireland,40.0,G,Goalkeeper,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,178305.0,Kevin Kilbane,Kevin,Kilbane,1977-02-01,Ireland,Ireland,26.0,M,Midfielder,15,294.0,176.0,35.0,21.0,386.0,33.0,527.0,11.0,33.0,30.0,33.0,204.0,133.0,22.0,5.0,9.0,3.0,,1.0,,2.0,1.0,1.0,2.0,,,,,1.0,3.0,3.0,7.0,2.0,1.0,5.0,6.0,,5.0,18.0,3.0,1.0,1.0,3.0,5.0,4.0,,8.0,4.0,,14.0,23.0,,2.0,4.0,3.0,1.0,,1.0,5.0,1.0,2.0,6.0,72.0,6.0,43.0,49.0,32.0,9.0,160.0,129.0,39.0,189.0,10.0,29.0,28.0,1.0,42.0,33.0,9.0,,6.0,5.0,,5.0,17.0,12.0,12.0,138.0,54.0,15.0,9.0,2452.0,15.0,18.0,11.0,51.0,3.0,239.0,59.0,90.0,4.0,426.0,409.0,1.0,13.0,1.0,218.0,33.0,33.0,202.0,56.0,38.0,135.0,98.0,1.0,387.0,716.0,75.0,3.0,783.0,30.0,7.0,5.0,54.0,22.0,1190.0,41.0,38.0,9.0,7.0,19.0,43.0,2.0,14.0,17.0,1.0,1.0,1.0,39.0,,,,,1.0,,,1.0,,,,,,,,3.0,,,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2260,294044.0,Matthew Kilgallon,Matthew,Kilgallon,1984-01-08,England,England,,D,Centre Central Defender,15,24.0,49.0,1.0,1.0,29.0,16.0,77.0,10.0,1.0,4.0,6.0,65.0,43.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,1.0,,,5.0,1.0,15.0,29.0,28.0,32.0,,6.0,6.0,,9.0,7.0,2.0,,,,,,,4.0,4.0,44.0,20.0,4.0,10.0,540.0,1.0,,,,7.0,16.0,5.0,8.0,1.0,66.0,58.0,,,,16.0,,1.0,72.0,36.0,,5.0,5.0,,31.0,61.0,28.0,,128.0,,,,17.0,12.0,215.0,5.0,8.0,1.0,,,13.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1627,2004.0,Ledley King,Ledley,King,1980-10-12,England,England,26.0,D,Centre Central Defender,15,123.0,388.0,1.0,1.0,137.0,45.0,524.0,1.0,15.0,38.0,21.0,124.0,132.0,4.0,,4.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,2.0,3.0,,4.0,2.0,,,1.0,2.0,,,2.0,,,,,,,,6.0,,1.0,5.0,1.0,,,,2.0,,,3.0,3.0,4.0,,1.0,,5.0,28.0,99.0,118.0,75.0,,10.0,21.0,,27.0,21.0,6.0,,1.0,1.0,,1.0,9.0,20.0,20.0,194.0,102.0,5.0,29.0,1882.0,2.0,3.0,2.0,43.0,19.0,78.0,11.0,8.0,2.0,237.0,193.0,,4.0,2.0,39.0,25.0,5.0,471.0,162.0,2.0,1.0,1.0,,86.0,243.0,84.0,,713.0,9.0,1.0,,48.0,1.0,990.0,10.0,12.0,11.0,1.0,3.0,40.0,1.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2665,14658.0,Gábor Király,Gábor,Király,1976-04-01,Hungary,Hungary,1.0,G,Goalkeeper,15,5.0,9.0,,,21.0,21.0,30.0,,,,5.0,42.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,1.0,2.0,68.0,,,5.0,,8.0,7.0,1.0,,,,,,,,,120.0,36.0,4.0,2.0,450.0,,,,,,8.0,12.0,1.0,1.0,88.0,88.0,,,,16.0,,,11.0,2.0,,,,,49.0,71.0,72.0,,82.0,,,,,,158.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,52.0,,,,,,,,,,,,,,,,15.0,5.0,2.0,3.0,5.0,16.0,1.0,,2.0,9.0,5.0,14.0,6.0,3.0,7.0,,,,,,,,,,,,,,,
