id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,appearances,clean_sheet,draws,goals,goal_assist,losses,wins,yellow_card,own_goals,red_card
22,42092.0,Anders Limpar,Anders,Limpar,1965-09-24,Sweden,Sweden,,M,Midfielder,4,28.0,6.0,8.0,3.0,5.0,10.0,10.0,5.0,,
12,41841.0,Andy Linighan,Andy,Linighan,1962-06-18,England,England,6.0,D,Defender,4,18.0,6.0,5.0,,1.0,6.0,7.0,,,
293,1505.0,Steve Lomas,Steve,Lomas,1974-01-18,Germany,Northern Ireland,,M,Midfielder,4,33.0,7.0,11.0,3.0,6.0,13.0,9.0,7.0,1.0,1.0
225,1320.0,John Lukic,John,Lukic,1960-12-11,England,England,,G,Goalkeeper,4,28.0,7.0,6.0,,,13.0,9.0,,,
936,29098.0,Des Lyttle,Des,Lyttle,1971-09-24,England,England,15.0,D,Defender,4,33.0,7.0,10.0,1.0,1.0,9.0,14.0,,,
549,529.0,Gary Mabbutt,Gary,Mabbutt,1961-08-23,England,England,,D,Defender,4,32.0,11.0,12.0,,,6.0,14.0,4.0,,
530,1937.0,Neil Maddison,Neil,Maddison,1969-10-02,England,England,,M,Midfielder,4,15.0,3.0,5.0,1.0,,8.0,2.0,1.0,,
443,425.0,Danny Maddix,Danny,Maddix,1967-10-11,England,England,,D,Defender,4,22.0,2.0,3.0,,,15.0,4.0,7.0,,
757,2388.0,Jim Magilton,Jim,Magilton,1969-05-06,Northern Ireland,Northern Ireland,7.0,M,Midfielder,4,31.0,10.0,11.0,3.0,,13.0,7.0,1.0,,
780,816.0,Paul Mahorn,Paul,Mahorn,1973-08-13,England,England,,F,Forward,4,,,,,,,,,,
85,41868.0,Lee Makel,Lee,Makel,1973-01-11,England,England,,M,Midfielder,4,3.0,0.0,1.0,,,1.0,1.0,,,
281,270.0,Martyn Margetson,Martyn,Margetson,1971-09-08,Wales,Wales,,G,Goalkeeper,4,,,,,,,,,,
68,65.0,Nicky Marker,Nicky,Marker,1965-05-03,England,England,,D,Defender,4,9.0,2.0,2.0,1.0,1.0,4.0,3.0,,1.0,
10,2043.0,Scott Marshall,Scott,Marshall,1973-05-01,Scotland,Scotland,,D,Defender,4,11.0,4.0,3.0,1.0,,4.0,4.0,4.0,,
316,1303.0,Lee Martin,Lee,Martin,1968-02-05,England,England,,D,Defender,4,,,,,,,,,,
888,963.0,Philemon Masinga,Philemon,Masinga,1969-06-21,South Africa,South Africa,,F,Forward,4,9.0,1.0,2.0,,,4.0,3.0,1.0,,
759,789.0,Craig Maskell,Craig,Maskell,1968-04-10,England,England,,F,Forward,4,1.0,0.0,,,,1.0,,,,
259,5078.0,Dominic Matteo,Dominic,Matteo,1974-04-28,Scotland,Scotland,,D,Defender,4,5.0,2.0,,,,3.0,2.0,,,
1109,42001.0,Steve Mautone,Steve,Mautone,1970-08-10,Australia,Australia,,G,Goalkeeper,4,,,,,,,,,,
67,1004.0,David May,David,May,1970-06-24,England,England,,D,Defender,4,16.0,6.0,3.0,1.0,,3.0,10.0,1.0,,
1046,30368.0,Alan Maybury,Alan,Maybury,1978-08-08,Ireland,Ireland,2.0,D,Defender,4,1.0,0.0,,,,1.0,,,,
1062,1212.0,Giuseppe Mazzarelli,Giuseppe,Mazzarelli,1972-08-14,Switzerland,Switzerland,,F,Forward,4,2.0,0.0,1.0,,1.0,1.0,,,,
238,2428.0,Gary McAllister,Gary,McAllister,1964-12-25,Scotland,Scotland,,M,Midfielder,4,36.0,10.0,6.0,5.0,4.0,18.0,12.0,1.0,,
1011,1135.0,Steve McAnespie,Steve,McAnespie,1972-02-01,Scotland,Scotland,,D,Defender,4,9.0,1.0,1.0,,,7.0,1.0,,,
1052,2757.0,Jason McAteer,Jason,McAteer,1971-06-18,Ireland,Ireland,,M,Midfielder,4,33.0,10.0,11.0,,3.0,7.0,15.0,5.0,,
1042,4538.0,Gavin McCann,Gavin,McCann,1978-01-10,England,England,,M,Centre Central Midfielder,4,,,,,,,,,,
337,325.0,Brian McClair,Brian,McClair,1963-12-08,Scotland,Scotland,,F,Forward,4,22.0,3.0,5.0,3.0,2.0,5.0,12.0,1.0,,
451,433.0,Alan McDonald,Alan,McDonald,1963-10-12,Northern Ireland,Northern Ireland,,D,Defender,4,26.0,5.0,3.0,1.0,2.0,15.0,8.0,8.0,,
314,302.0,Pat McGibbon,Pat,McGibbon,1973-09-06,Northern Ireland,Northern Ireland,,D,Defender,4,,,,,,,,,,
1023,41818.0,John McGinlay,John,McGinlay,1964-04-08,England,England,10.0,F,Forward,4,32.0,2.0,5.0,6.0,3.0,23.0,4.0,4.0,,
156,41912.0,Eddie McGoldrick,Eddie,McGoldrick,1965-04-30,England,Ireland,,M,Midfielder,4,1.0,0.0,,,,,1.0,,,
5,5.0,Gavin McGowan,Gavin,McGowan,1976-01-16,England,England,,D,Defender,4,1.0,0.0,,,,,1.0,,,
37,1362.0,Paul McGrath,Paul,McGrath,1959-12-04,Ireland,Ireland,,D,Defender,4,30.0,7.0,8.0,2.0,,9.0,13.0,3.0,,
413,146268.0,Paul McGregor,Paul,McGregor,1974-12-17,England,England,20.0,F,Forward,4,14.0,0.0,4.0,2.0,1.0,5.0,5.0,,,
1003,3583.0,Billy McKinlay,Billy,McKinlay,1969-04-22,Scotland,Scotland,,M,Midfielder,4,19.0,2.0,5.0,2.0,,6.0,8.0,5.0,,1.0
571,42158.0,Gerry McMahon,Gerry,McMahon,1973-12-29,Northern Ireland,Northern Ireland,,M,Midfielder,4,14.0,0.0,6.0,,,3.0,5.0,,,
271,3287.0,Steve McManaman,Steve,McManaman,1972-02-11,England,England,,M,Midfielder,4,38.0,16.0,11.0,6.0,15.0,7.0,20.0,,,
1125,1309.0,Mark McNally,Mark,McNally,1971-03-10,Scotland,Scotland,,D,Defender,4,,,,,,,,,,
1113,1506.0,Scott Mean,Scott,Mean,1973-12-13,England,England,,M,Midfielder,4,,,,,,,,,,
1121,98369.0,Junior Mendes,Junior,Mendes,1976-09-15,Montserrat,Montserrat,,F,Forward,4,,,,,,,,,,
934,146834.0,Billy Mercer,Billy,Mercer,1969-05-22,England,England,,G,Goalkeeper,4,,,,,,,,,,
23,128586.0,Paul Merson,Paul,Merson,1968-03-20,England,England,9.0,M,Centre Central Midfielder,4,38.0,15.0,12.0,5.0,5.0,9.0,17.0,2.0,,
782,818.0,Ludek Miklosko,Ludek,Miklosko,1961-12-09,Czech Republic,Czech Republic,,G,Goalkeeper,4,36.0,11.0,9.0,,,13.0,14.0,,,1.0
2,25908.0,Alan Miller,Alan,Miller,1970-03-29,England,England,,,,4,6.0,1.0,2.0,,,3.0,1.0,,,
995,127332.0,Savo Milosevic,Savo,Milosevic,1973-09-02,Serbia,Serbia,9.0,F,Forward,4,37.0,12.0,8.0,12.0,6.0,11.0,18.0,5.0,,
64,42123.0,Bobby Mimms,Bobby,Mimms,1963-10-12,England,England,,G,Goalkeeper,4,2.0,0.0,1.0,,,,1.0,,,
855,2012.0,Scott Minto,Scott,Minto,1971-08-06,England,England,,D,Defender,4,10.0,2.0,3.0,,2.0,4.0,3.0,1.0,,
792,831.0,Paul Mitchell,Paul,Mitchell,1971-10-20,England,England,,M,Midfielder,4,,,,,,,,,,
768,1065.0,John Moncur,John,Moncur,1966-09-22,England,England,,M,Midfielder,4,20.0,2.0,5.0,,,9.0,6.0,5.0,,
522,502.0,Kenneth Monkou,Kenneth,Monkou,1964-11-29,Suriname,Netherlands,,D,Defender,4,32.0,8.0,9.0,2.0,,16.0,7.0,7.0,,
176,41936.0,Neil Moore,Neil,Moore,1972-09-21,England,England,,D,Defender,4,,,,,,,,,,
1077,1236.0,Jaime Moreno,Jaime,Moreno,1974-01-19,Bolivia,Bolivia,,F,Forward,4,7.0,0.0,2.0,,,5.0,,,,
680,686.0,Steve Morgan,Steve,Morgan,1968-09-19,England,England,,D,Defender,4,,,,,,,,,,
1027,3426.0,Jody Morris,Jody,Morris,1978-12-22,England,England,4.0,M,Midfielder,4,1.0,0.0,,,,,1.0,,,
7,41983.0,Steve Morrow,Steve,Morrow,1970-07-02,Northern Ireland,Northern Ireland,3.0,D,Defender,4,4.0,1.0,3.0,,,,1.0,,,
920,146108.0,Colin Murdock,Colin,Murdock,1975-07-02,Northern Ireland,Northern Ireland,,D,Defender,4,,,,,,,,,,
662,26554.0,Scott Murray,Scott,Murray,1974-05-26,Scotland,Scotland,7.0,M,Midfielder,4,3.0,0.0,1.0,,,2.0,,,,
363,3119.0,Robbie Mustoe,Robbie,Mustoe,1968-08-28,England,England,,M,Midfielder,4,21.0,9.0,8.0,1.0,,5.0,8.0,3.0,,
102,2070.0,Andy Myers,Andy,Myers,1973-11-03,England,England,3.0,D,Defender,4,20.0,7.0,7.0,,,7.0,6.0,2.0,,
267,257.0,Jan Mølby,Jan,Mølby,1963-07-04,Denmark,Denmark,,M,Midfielder,4,,,,,,,,,,
143,138.0,Peter Ndlovu,Peter,Ndlovu,1973-02-25,Zimbabwe,Zimbabwe,,F,Forward,4,32.0,6.0,11.0,4.0,1.0,15.0,6.0,3.0,,
713,2791.0,Alan Neilson,Alan,Neilson,1972-09-26,Germany,Wales,,D,Defender,4,18.0,5.0,5.0,,2.0,8.0,5.0,4.0,,
554,534.0,Stuart Nethercott,Stuart,Nethercott,1973-03-21,England,England,,D,Defender,4,13.0,1.0,5.0,,,5.0,3.0,3.0,,
86,41826.0,Mike Newell,Mike,Newell,1965-01-27,England,England,,F,Forward,4,30.0,6.0,5.0,3.0,9.0,11.0,14.0,7.0,,
601,579.0,Aidan Newhouse,Aidan,Newhouse,1972-05-23,England,England,,F,Forward,4,,,,,,,,,,
231,1261.0,Jon Newsome,Jon,Newsome,1970-09-06,England,England,,D,Defender,4,8.0,4.0,2.0,1.0,,3.0,3.0,1.0,,
110,106.0,Eddie Newton,Eddie,Newton,1971-12-13,England,England,,M,Midfielder,4,24.0,8.0,6.0,1.0,,8.0,10.0,2.0,,
1029,1165.0,Mark Nicholls,Mark,Nicholls,1977-05-30,England,England,,F,Forward,4,,,,,,,,,,
253,1260.0,Steve Nicol,Steve,Nicol,1961-12-11,Scotland,Scotland,,D,Defender,4,19.0,2.0,4.0,,1.0,10.0,5.0,1.0,,
953,2310.0,Ian Nolan,Ian,Nolan,1970-07-09,England,Northern Ireland,,D,Defender,4,29.0,4.0,8.0,,4.0,14.0,7.0,1.0,,
1041,1186.0,Jon O'Connor,Jon,O'Connor,1976-10-29,England,England,,M,Midfielder,4,4.0,2.0,1.0,,,1.0,2.0,2.0,,
1073,1230.0,Keith O'Halloran,Keith,O'Halloran,1975-11-10,Ireland,Ireland,,M,Midfielder,4,3.0,0.0,,,,3.0,,1.0,,
313,1653.0,John O'Kane,John,O'Kane,1974-11-15,England,England,,D,Defender,4,1.0,0.0,,,,1.0,,,,
8,702.0,David O'Leary,David,O'Leary,1958-05-02,Ireland,Ireland,,D,Defender,4,,,,,,,,,,
34,3378.0,Michael Oakes,Michael,Oakes,1973-10-30,England,England,1.0,G,Goalkeeper,4,,,,,,,,,,
958,10841.0,Matt Oakley,Matt,Oakley,1977-08-17,England,England,16.0,M,Centre Central Midfielder,4,10.0,1.0,6.0,,,3.0,1.0,,,
122,116.0,Steve Ogrizovic,Steve,Ogrizovic,1957-09-12,England,England,,G,Goalkeeper,4,25.0,8.0,10.0,,,8.0,7.0,,,
1116,1291.0,Manny Omoyinmi,Manny,Omoyinmi,1977-12-28,Nigeria,England,,F,Forward,4,,,,,,,,,,
626,1315.0,Simon Osborn,Simon,Osborn,1972-01-19,England,England,,M,Midfielder,4,9.0,1.0,1.0,1.0,1.0,5.0,3.0,,,
1021,1155.0,Mixu Paatelainen,Mixu,Paatelainen,1967-02-03,Finland,Finland,,F,Forward,4,15.0,4.0,2.0,1.0,1.0,9.0,4.0,1.0,,
320,1934.0,Gary Pallister,Gary,Pallister,1965-06-30,England,England,,D,Defender,4,21.0,11.0,3.0,1.0,1.0,2.0,16.0,3.0,,
497,2098.0,Carlton Palmer,Carlton,Palmer,1965-12-05,England,England,,D,Defender,4,35.0,9.0,7.0,2.0,1.0,17.0,11.0,8.0,,
317,1336.0,Paul Parker,Paul,Parker,1964-04-04,England,England,,D,Defender,4,6.0,2.0,1.0,,,3.0,2.0,,,
1013,1137.0,Enzo Gambaro,Enzo,Gambaro,1966-02-23,Italy,Italy,,D,Defender,4,,,,,,,,,,
321,309.0,Gary Neville,Gary,Neville,1975-02-18,England,England,2.0,D,Right Full Back,4,31.0,9.0,6.0,,4.0,6.0,19.0,7.0,,
919,1003.0,Maurizio Gaudino,Maurizio,Gaudino,1966-12-12,Germany,Germany,,M,Midfielder,4,,,,,,,,,,
809,848.0,Marcus Gayle,Marcus,Gayle,1970-09-27,Jamaica,Jamaica,,F,Forward,4,34.0,1.0,10.0,5.0,4.0,16.0,8.0,,,
401,1901.0,Scot Gemmill,Scot,Gemmill,1971-01-02,Scotland,Scotland,,M,Midfielder,4,31.0,4.0,11.0,1.0,4.0,7.0,13.0,4.0,,
1066,146106.0,Paul Gibson,Paul,Gibson,1976-01-11,England,England,33.0,G,Goalkeeper,4,,,,,,,,,,
335,323.0,Ryan Giggs,Ryan,Giggs,1973-11-29,Wales,Wales,11.0,M,Left/Centre Central Midfielder,4,33.0,17.0,5.0,11.0,9.0,4.0,24.0,,,
329,29676.0,Keith Gillespie,Keith,Gillespie,1975-02-18,Northern Ireland,Northern Ireland,,M,Midfielder,4,28.0,5.0,5.0,4.0,6.0,5.0,18.0,3.0,,
1083,2653.0,David Ginola,David,Ginola,1967-01-25,France,France,,F,Forward,4,34.0,9.0,6.0,5.0,8.0,7.0,21.0,6.0,,
851,55643.0,Shay Given,Shay,Given,1976-04-20,Ireland,Ireland,24.0,G,Goalkeeper,4,,,,,,,,,,
974,1074.0,Jon Goodman,Jon,Goodman,1971-06-02,England,Ireland,,F,Forward,4,27.0,0.0,9.0,6.0,1.0,11.0,7.0,,,
1093,1258.0,Greg Goodridge,Greg,Goodridge,1971-07-10,Barbados,Barbados,,M,Midfielder,4,7.0,0.0,1.0,1.0,,5.0,1.0,1.0,,
794,833.0,Dale Gordon,Dale,Gordon,1967-01-09,England,England,,M,Midfielder,4,1.0,0.0,,,,,1.0,,,
123,1166.0,Jonathan Gould,Jonathan,Gould,1968-07-18,Scotland,Scotland,,G,Goalkeeper,4,,,,,,,,,,
685,2449.0,Tony Grant,Tony,Grant,1974-11-14,England,England,,M,Midfielder,4,13.0,3.0,2.0,1.0,5.0,5.0,6.0,1.0,,
1050,10123.0,Andy Gray,Andy,Gray,1977-11-15,Scotland,Scotland,10.0,F,Centre Striker,4,15.0,1.0,2.0,,1.0,10.0,3.0,,,
1016,41795.0,Scott Green,Scott,Green,1970-01-15,England,England,2.0,D,Defender,4,31.0,3.0,5.0,3.0,,20.0,6.0,2.0,,
1064,1214.0,Chris Greenacre,Chris,Greenacre,1977-12-23,England,England,,F,Forward,4,,,,,,,,,,
251,1795.0,Bruce Grobbelaar,Bruce,Grobbelaar,1957-10-06,Zimbabwe,Zimbabwe,,G,Goalkeeper,4,2.0,1.0,,,,1.0,1.0,,,
1006,41878.0,Niklas Gudmundsson,Niklas,Gudmundsson,1972-02-29,Sweden,Sweden,,D,Defender,4,4.0,0.0,,,1.0,3.0,1.0,,,
946,176890.0,Steve Guinan,Steve,Guinan,1975-12-24,England,England,19.0,F,Forward,4,2.0,0.0,,,,1.0,1.0,,,
1028,1164.0,Ruud Gullit,Ruud,Gullit,1962-09-01,Netherlands,Netherlands,,F,Forward,4,31.0,9.0,11.0,3.0,4.0,10.0,10.0,2.0,,
938,2443.0,Alf Inge Haaland,Alf Inge,Haaland,1972-11-23,Norway,Norway,,D,Defender,4,17.0,1.0,6.0,,,6.0,5.0,4.0,,
99,1472.0,Gareth Hall,Gareth,Hall,1969-03-20,England,Wales,,D,Defender,4,5.0,2.0,3.0,1.0,,1.0,1.0,1.0,,
857,42028.0,Ritchie Hanlon,Ritchie,Hanlon,1978-05-26,England,England,,M,Midfielder,4,,,,,,,,,,
667,672.0,Paul Harford,Paul,Harford,1974-10-21,England,England,,D,Defender,4,,,,,,,,,,
508,2041.0,John Harkes,John,Harkes,1967-03-08,United States,United States,,M,Midfielder,4,11.0,2.0,1.0,,,5.0,5.0,1.0,,
254,244.0,Steve Harkness,Steve,Harkness,1971-08-27,England,England,,D,Defender,4,24.0,9.0,5.0,1.0,,6.0,13.0,3.0,,
839,96200.0,Lee Harper,Lee,Harper,1971-10-30,England,England,1.0,G,Goalkeeper,4,,,,,,,,,,
1051,42026.0,Andrew Harris,Andrew,Harris,1977-02-26,England,England,,D,Defender,4,,,,,,,,,,
1045,10049.0,Ian Harte,Ian,Harte,1977-08-31,Ireland,Ireland,14.0,D,Left Full Back,4,4.0,0.0,,,,3.0,1.0,1.0,,
844,278349.0,John Hartson,John,Hartson,1975-04-05,Wales,Wales,10.0,F,Forward,4,19.0,4.0,7.0,4.0,2.0,4.0,8.0,3.0,,
1127,1519.0,Mark Hateley,Mark,Hateley,1961-11-07,England,England,,F,Forward,4,14.0,0.0,3.0,2.0,3.0,7.0,4.0,1.0,,
628,1294.0,Paul Heald,Paul,Heald,1968-09-20,England,England,,G,Goalkeeper,4,18.0,3.0,6.0,,,9.0,3.0,,1.0,1.0
28,41924.0,Neil Heaney,Neil,Heaney,1972-08-11,England,England,,F,Forward,4,17.0,4.0,5.0,2.0,,7.0,5.0,4.0,,
841,892.0,Glenn Helder,Glenn,Helder,1968-10-28,Netherlands,Netherlands,,M,Midfielder,4,24.0,5.0,8.0,1.0,3.0,7.0,9.0,,,
848,12990.0,Lee Hendrie,Lee,Hendrie,1977-05-18,England,England,,M,Midfielder,4,3.0,1.0,1.0,,,2.0,,,,1.0
75,2604.0,Colin Hendry,Colin,Hendry,1965-12-07,Scotland,Scotland,,D,Defender,4,33.0,9.0,6.0,1.0,,10.0,17.0,9.0,,
365,3266.0,Craig Hignett,Craig,Hignett,1970-01-12,England,England,,F,Forward,4,22.0,5.0,7.0,5.0,1.0,8.0,7.0,6.0,,
1056,1988.0,Scott Hiley,Scott,Hiley,1968-09-27,England,England,,D,Defender,4,6.0,0.0,3.0,,2.0,2.0,1.0,,,
292,41967.0,Andy Hill,Andy,Hill,1965-01-20,England,England,,D,Defender,4,,,,,,,,,,
18,41977.0,David Hillier,David,Hillier,1969-12-19,England,England,,M,Midfielder,4,5.0,2.0,1.0,,,2.0,2.0,,,
1038,95689.0,John Hills,John,Hills,1978-04-21,England,England,,D,Defender,4,,,,,,,,,,
179,1726.0,Andy Hinchcliffe,Andy,Hinchcliffe,1969-02-05,England,England,,D,Defender,4,28.0,7.0,10.0,2.0,3.0,9.0,9.0,4.0,,
514,1749.0,David Hirst,David,Hirst,1967-12-07,England,England,,F,Forward,4,30.0,3.0,9.0,13.0,5.0,14.0,7.0,1.0,,
1080,2008.0,Shaka Hislop,Shaka,Hislop,1969-02-22,England,Trinidad & Tobago,,G,Goalkeeper,4,24.0,8.0,5.0,,1.0,3.0,16.0,,,
92,88.0,Kevin Hitchcock,Kevin,Hitchcock,1962-10-05,England,England,,G,Goalkeeper,4,12.0,2.0,4.0,,,5.0,3.0,,,
968,1068.0,Lee Hodges,Lee,Hodges,1978-03-02,England,England,,M,Midfielder,4,,,,,,,,,,
603,1599.0,Dean Holdsworth,Dean,Holdsworth,1968-11-08,England,England,,F,Forward,4,33.0,3.0,8.0,10.0,2.0,17.0,8.0,6.0,,
716,41784.0,Chris Holland,Chris,Holland,1975-09-11,England,England,,M,Midfielder,4,,,,,,,,,,
446,428.0,Ian Holloway,Ian,Holloway,1963-03-12,England,England,,D,Defender,4,27.0,2.0,3.0,1.0,3.0,17.0,7.0,4.0,,
793,1857.0,Matt Holmes,Matt,Holmes,1969-08-01,England,England,,M,Midfielder,4,9.0,1.0,3.0,1.0,,4.0,2.0,1.0,,
250,726.0,Mike Hooper,Mike,Hooper,1964-02-10,England,England,,G,Goalkeeper,4,,,,,,,,,,
1000,1120.0,Richard Hope,Richard,Hope,1978-06-22,England,England,,D,Defender,4,,,,,,,,,,
186,2177.0,Barry Horne,Barry,Horne,1962-05-18,Wales,Wales,,M,Midfielder,4,26.0,9.0,7.0,1.0,2.0,9.0,10.0,9.0,,1.0
925,1184.0,Marc Hottiger,Marc,Hottiger,1967-11-07,Switzerland,Switzerland,2.0,D,Defender,4,10.0,3.0,3.0,1.0,1.0,2.0,5.0,,,
560,1992.0,David Howells,David,Howells,1967-12-15,England,England,,M,Midfielder,4,29.0,8.0,10.0,3.0,1.0,6.0,13.0,5.0,,
714,3174.0,Steve Howey,Steve,Howey,1971-10-26,England,England,,D,Defender,4,28.0,9.0,4.0,1.0,1.0,7.0,17.0,2.0,,
1082,3684.0,Darren Huckerby,Darren,Huckerby,1976-04-23,England,England,6.0,F,Forward,4,1.0,0.0,,,,,1.0,,,
842,3186.0,Stephen Hughes,Stephen,Hughes,1976-09-18,England,England,,M,Midfielder,4,1.0,0.0,1.0,,,,,,,
1097,10516.0,Ritchie Humphreys,Ritchie,Humphreys,1977-11-30,England,England,25.0,M,Left Winger,4,4.0,0.0,1.0,,,2.0,1.0,,,
137,131.0,Lee Hurst,Lee,Hurst,1970-09-21,England,England,,M,Midfielder,4,,,,,,,,,,
272,1067.0,Don Hutchison,Don,Hutchison,1971-05-09,Scotland,Scotland,,M,Midfielder,4,12.0,1.0,4.0,2.0,,7.0,1.0,3.0,,
505,486.0,Graham Hyde,Graham,Hyde,1970-11-10,England,England,,M,Midfielder,4,26.0,2.0,6.0,1.0,1.0,13.0,7.0,2.0,,
1053,1202.0,Eike Immel,Eike,Immel,1960-11-27,Germany,Germany,,G,Goalkeeper,4,38.0,8.0,11.0,,,18.0,9.0,,,
453,1915.0,Andy Impey,Andy,Impey,1971-09-30,England,England,2.0,M,Midfielder,4,29.0,4.0,6.0,3.0,1.0,16.0,7.0,1.0,,1.0
955,1046.0,Klas Ingesson,Klas,Ingesson,1968-08-20,Sweden,Sweden,,M,Midfielder,4,5.0,2.0,2.0,,,2.0,1.0,,,
698,713.0,Rae Ingram,Rae,Ingram,1974-12-06,England,England,,D,Defender,4,5.0,0.0,1.0,,,4.0,,,,
1089,1253.0,Richard Irving,Richard,Irving,1975-09-10,England,England,,F,Forward,4,1.0,0.0,1.0,,,,,,,
315,3386.0,Denis Irwin,Denis,Irwin,1965-10-31,Ireland,Ireland,,D,Defender,4,31.0,14.0,5.0,1.0,5.0,5.0,21.0,4.0,1.0,
1036,1177.0,Isaías,Isaias,Marques Soares,1963-11-17,Brazil,Brazil,,F,Forward,4,11.0,1.0,5.0,2.0,,5.0,1.0,,,
670,3475.0,Muzzy Izzet,Muzzy,Izzet,1974-10-31,England,Turkey,6.0,M,Midfielder,4,,,,,,,,,,
177,4052.0,Matt Jackson,Matt,Jackson,1971-10-19,England,England,4.0,D,Defender,4,14.0,5.0,5.0,,2.0,3.0,6.0,2.0,,
252,55236.0,David James,David,James,1970-08-01,England,England,1.0,G,Goalkeeper,4,38.0,16.0,11.0,,1.0,7.0,20.0,1.0,,
960,29919.0,Jamie Clapham,James,Clapham,1975-12-07,England,England,19.0,D,Defender,4,,,,,,,,,,
994,29875.0,Tommy Jaszczun,Tommy,Jaszczun,1977-09-16,England,England,15.0,M,Midfielder,4,,,,,,,,,,
512,41965.0,Nigel Jemson,Nigel,Jemson,1969-08-10,England,England,,F,Forward,4,,,,,,,,,,
17,145641.0,John Jensen,John,Jensen,1965-05-03,Denmark,Denmark,,M,Midfielder,4,15.0,5.0,5.0,,3.0,4.0,6.0,4.0,,
1034,2528.0,Eoin Jess,Eoin,Jess,1970-12-13,Scotland,Scotland,,M,Midfielder,4,12.0,4.0,5.0,1.0,1.0,4.0,3.0,,,
909,96052.0,Julian Joachim,Julian,Joachim,1974-09-20,England,England,,F,Forward,4,11.0,0.0,3.0,1.0,,5.0,3.0,,,
425,2543.0,Richard Jobson,Richard,Jobson,1963-05-09,England,England,,D,Defender,4,12.0,3.0,3.0,1.0,,5.0,4.0,2.0,,
101,97.0,Erland Johnsen,Erland,Johnsen,1967-04-05,Norway,Norway,,D,Defender,4,22.0,7.0,8.0,,,7.0,7.0,7.0,,
849,2276.0,Tommy Johnson,Tommy,Johnson,1971-01-15,England,England,,F,Forward,4,23.0,4.0,6.0,5.0,2.0,8.0,9.0,4.0,,
261,2289.0,Rob Jones,Rob,Jones,1971-11-05,England,England,,D,Defender,4,33.0,12.0,10.0,,2.0,6.0,17.0,1.0,,
1122,26416.0,Marc Joseph,Marc,Joseph,1976-11-10,Antigua & Barbuda,Antigua & Barbuda,,D,Defender,4,,,,,,,,,,
1072,1228.0,Juninho Paulista,Osvaldo,Giroldo Júnior,1973-02-22,Brazil,Brazil,,M,Midfielder,4,21.0,1.0,6.0,2.0,3.0,11.0,4.0,2.0,,
324,3127.0,Andrei Kanchelskis,Andrei,Kanchelskis,1969-01-23,Russia,Russia,,F,Forward,4,32.0,13.0,9.0,15.0,8.0,7.0,16.0,2.0,,
358,26864.0,Graham Kavanagh,Graham,Kavanagh,1973-12-02,Ireland,Ireland,8.0,M,Midfielder,4,7.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,
1061,1211.0,Mikhail Kavelashvili,Mikhail,Kavelashvili,1971-07-22,Georgia,Georgia,,M,Midfielder,4,4.0,0.0,1.0,1.0,,2.0,1.0,,,
407,119241.0,Roy Keane,Roy,Keane,1971-08-10,Ireland,Ireland,16.0,M,Midfielder,4,29.0,12.0,3.0,6.0,,5.0,21.0,6.0,,2.0
171,123757.0,Jason Kearton,Jason,Kearton,1969-07-09,Australia,Australia,,G,Goalkeeper,4,,,,,,,,,,
694,704.0,Gary Kelly,Gary,Kelly,1974-07-09,Ireland,Ireland,2.0,D,Defender,4,34.0,10.0,6.0,,4.0,17.0,11.0,4.0,,1.0
524,2822.0,Jeff Kenna,Jeff,Kenna,1970-08-27,Ireland,Ireland,,D,Defender,4,32.0,9.0,6.0,,3.0,9.0,17.0,2.0,,
916,27849.0,Mark Kennedy,Mark,Kennedy,1976-05-15,Ireland,Ireland,39.0,D,Defender,4,4.0,0.0,2.0,,,,2.0,,,
14,110016.0,Martin Keown,Martin,Keown,1966-07-24,England,England,,D,Centre Central Defender,4,34.0,13.0,10.0,,,8.0,16.0,8.0,,
352,712.0,Alan Kernaghan,Alan,Kernaghan,1967-04-25,England,Ireland,,D,Defender,4,6.0,0.0,2.0,,,4.0,,1.0,,
298,287.0,David Kerr,David,Kerr,1974-09-06,Scotland,Scotland,,M,Midfielder,4,1.0,0.0,,,,1.0,,,,
230,42163.0,David Kerslake,David,Kerslake,1966-06-19,England,England,,D,Defender,4,2.0,0.0,1.0,,,1.0,,,,
1049,99163.0,Harry Kewell,Harry,Kewell,1978-09-22,Australia,Australia,99.0,M,Left/Right Winger,4,2.0,0.0,,,,1.0,1.0,,,
494,28684.0,Lance Key,Lance,Key,1968-05-17,England,England,,G,Goalkeeper,4,,,,,,,,,,
723,744.0,Lee Clark,Lee,Clark,1972-10-27,England,England,21.0,M,Midfielder,4,28.0,7.0,5.0,2.0,1.0,4.0,19.0,,,
659,42029.0,Adrian Clarke,Adrian,Clarke,1974-09-28,England,England,,M,Midfielder,4,6.0,1.0,2.0,,,3.0,1.0,,,
1067,1218.0,Michael Clegg,Michael,Clegg,1977-07-03,England,England,,D,Defender,4,,,,,,,,,,
961,98165.0,Stephen Clemence,Stephen,Clemence,1978-03-31,England,England,14.0,M,Midfielder,4,,,,,,,,,,
411,1796.0,Nigel Clough,Nigel,Clough,1966-03-19,England,England,,M,Midfielder,4,17.0,4.0,7.0,2.0,3.0,5.0,5.0,2.0,,
