id,playerId,Display Name,First Name,Last Name,Birth Date,Birth Place,National Team,Shirt Num,Position,Position Info,year_id,formation_place,accurate_back_zone_pass,accurate_chipped_pass,accurate_corners_intobox,accurate_cross,accurate_cross_nocorner,accurate_freekick_cross,accurate_fwd_zone_pass,accurate_layoffs,accurate_long_balls,accurate_pass,accurate_throws,aerial_lost,aerial_won,appearances,attempted_tackle_foul,attempts_conceded_ibox,attempts_conceded_obox,att_assist_openplay,att_assist_setplay,att_bx_right,att_freekick_total,att_ibox_miss,att_lf_total,att_lg_centre,att_miss_high,att_miss_left,att_obox_blocked,att_obox_miss,att_obox_target,att_obx_centre,att_openplay,att_rf_target,att_rf_total,att_sv_low_centre,att_sv_low_left,att_sv_low_right,backward_pass,ball_recovery,blocked_cross,blocked_pass,blocked_scoring_att,challenge_lost,corner_taken,crosses_18yard,crosses_18yardplus,dispossessed,duel_lost,duel_won,effective_blocked_cross,effective_clearance,final_third_entries,fouled_final_third,fouls,freekick_cross,fwd_pass,game_started,goals_conceded,goals_conceded_ibox,goals_conceded_obox,hand_ball,head_pass,interception,interception_won,last_man_tackle,leftside_pass,long_pass_own_to_opp,long_pass_own_to_opp_success,losses,lost_corners,mins_played,offtarget_att_assist,ontarget_att_assist,ontarget_scoring_att,open_play_pass,outfielder_block,passes_left,passes_right,pen_area_entries,poss_lost_all,poss_lost_ctrl,poss_won_att_3rd,poss_won_def_3rd,poss_won_mid_3rd,put_through,rightside_pass,second_goal_assist,shot_off_target,successful_final_third_passes,successful_open_play_pass,successful_put_through,total_att_assist,total_back_zone_pass,total_chipped_pass,total_clearance,total_contest,total_corners_intobox,total_cross,total_cross_nocorner,total_final_third_passes,total_fwd_zone_pass,total_launches,total_layoffs,total_long_balls,total_offside,total_pass,total_scoring_att,total_sub_off,total_sub_on,total_tackle,total_throws,touches,turnover,unsuccessful_touch,was_fouled,wins,won_contest,won_corners,won_tackle,yellow_card,accurate_flick_on,accurate_launches,accurate_pull_back,accurate_through_ball,att_bx_centre,att_goal_high_left,att_hd_goal,att_hd_total,att_ibox_blocked,att_ibox_goal,att_ibox_target,att_lf_target,att_miss_right,att_obox_post,att_post_high,big_chance_created,big_chance_missed,big_chance_scored,clean_sheet,draws,effective_head_clearance,error_lead_to_shot,goals,goals_openplay,goal_assist,goal_assist_intentional,goal_assist_openplay,head_clearance,hit_woodwork,interceptions_in_box,offside_provoked,overrun,penalty_conceded,penalty_won,pen_goals_conceded,post_scoring_att,shield_ball_oop,six_yard_block,total_fastbreak,total_flick_on,total_pull_back,total_through_ball,att_bx_left,att_miss_high_left,att_one_on_one,att_sv_high_centre,assist_pass_lost,att_cmiss_left,att_cmiss_right,att_fastbreak,att_freekick_goal,att_freekick_miss,att_freekick_target,att_goal_low_right,att_hd_miss,att_hd_target,att_ibox_post,att_lf_goal,att_miss_high_right,att_obox_goal,att_obxd_right,att_obx_right,att_post_right,att_rf_goal,att_setpiece,shot_fastbreak,att_sv_high_right,att_cmiss_high_left,att_goal_high_right,assist_penalty_won,att_cmiss_high,att_goal_low_centre,att_sv_high_left,error_lead_to_goal,foul_throw_in,att_goal_high_centre,att_goal_low_left,att_lg_right,att_obxd_left,att_pen_goal,att_pen_target,goal_assist_deadball,goal_assist_setplay,att_hd_post,clearance_off_line,own_goals,att_freekick_post,attempts_ibox,att_cmiss_high_right,att_obp_goal,att_obx_left,att_post_left,touches_in_opp_box,red_card,second_yellow,accurate_goal_kicks,accurate_keeper_sweeper,accurate_keeper_throws,dive_save,diving_save,goal_kicks,keeper_pick_up,keeper_throws,punches,saved_ibox,saved_obox,saves,stand_catch,total_keeper_sweeper,assist_attempt_saved,attempts_obox,goal_fastbreak,cross_not_claimed,dive_catch,gk_smother,good_high_claim,penalty_faced,penalty_save,stand_save,total_high_claim,assist_blocked_shot,assist_free_kick_won,assist_handball_won,assist_own_goal,att_lg_left,dangerous_play,att_pen_miss,assist_post,att_pen_post
4489,42970.0,Ashley Westwood,Ashley,Westwood,1990-04-01,England,England,18.0,M,Centre Central Midfielder,22,140.0,551.0,97.0,37.0,45.0,8.0,4.0,844.0,16.0,168.0,1350.0,6.0,17.0,10.0,35.0,13.0,246.0,187.0,42.0,19.0,,4.0,1.0,,,3.0,1.0,7.0,11.0,3.0,22.0,20.0,4.0,28.0,2.0,,1.0,173.0,223.0,4.0,41.0,9.0,14.0,100.0,6.0,14.0,15.0,84.0,92.0,4.0,30.0,367.0,1.0,38.0,25.0,590.0,35.0,56.0,47.0,9.0,,54.0,48.0,48.0,,406.0,288.0,199.0,19.0,6.0,3081.0,25.0,38.0,7.0,1584.0,11.0,191.0,273.0,102.0,419.0,419.0,6.0,70.0,147.0,41.0,461.0,,12.0,348.0,1321.0,28.0,65.0,607.0,195.0,30.0,8.0,99.0,144.0,45.0,513.0,1167.0,25.0,16.0,247.0,,1630.0,28.0,4.0,,56.0,7.0,2060.0,17.0,17.0,19.0,8.0,7.0,11.0,40.0,7.0,,9.0,,,5.0,1.0,,,2.0,1.0,1.0,,5.0,,,5.0,,,7.0,8.0,8.0,,3.0,2.0,2.0,2.0,,8.0,,3.0,1.0,1.0,,,5.0,,3.0,,,5.0,1.0,3.0,,,,,,1.0,1.0,,1.0,,1.0,2.0,,,,,3.0,2.0,,,,3.0,3.0,,,,,,1.0,,1.0,,,,,,,,,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
13263,21133.0,Theo Wharton,Theo,Wharton,1994-11-15,Wales,St. Kitts & Nevis,,M,Midfielder,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2299,289829.0,Glenn Whelan,Glenn,Whelan,1984-01-13,Ireland,Ireland,26.0,M,Centre Defensive Midfielder,22,296.0,633.0,77.0,5.0,12.0,7.0,2.0,612.0,50.0,111.0,1233.0,2.0,15.0,34.0,32.0,13.0,193.0,181.0,21.0,6.0,,,,,,,3.0,4.0,6.0,2.0,11.0,12.0,2.0,13.0,1.0,,1.0,242.0,169.0,5.0,36.0,5.0,38.0,10.0,6.0,5.0,22.0,110.0,124.0,5.0,60.0,206.0,2.0,33.0,2.0,420.0,28.0,35.0,28.0,7.0,,85.0,48.0,48.0,,356.0,201.0,148.0,11.0,20.0,2361.0,17.0,11.0,2.0,1369.0,15.0,134.0,187.0,42.0,240.0,239.0,5.0,62.0,102.0,36.0,390.0,,6.0,225.0,1199.0,25.0,28.0,666.0,124.0,61.0,11.0,10.0,23.0,13.0,319.0,765.0,31.0,50.0,148.0,,1408.0,13.0,10.0,4.0,70.0,2.0,1764.0,21.0,21.0,18.0,13.0,7.0,4.0,50.0,4.0,3.0,12.0,,,1.0,,,,1.0,,,,1.0,,,1.0,,,3.0,8.0,33.0,1.0,,,1.0,,1.0,33.0,,3.0,,2.0,,,3.0,,1.0,,,11.0,,1.0,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
9983,294712.0,Danny Whitehead,Danny,Whitehead,1993-10-23,England,England,29.0,M,Centre Central Midfielder,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4557,6357.0,Steven Whittaker,Steven,Whittaker,1984-06-16,Scotland,Scotland,2.0,D,Right Full Back,22,76.0,199.0,35.0,,6.0,6.0,,270.0,4.0,50.0,463.0,108.0,20.0,30.0,20.0,6.0,159.0,118.0,12.0,,3.0,,2.0,6.0,,,2.0,3.0,3.0,,6.0,9.0,,4.0,,,,64.0,68.0,11.0,31.0,3.0,16.0,,19.0,11.0,17.0,83.0,100.0,11.0,57.0,171.0,4.0,17.0,,354.0,16.0,29.0,21.0,8.0,,68.0,41.0,41.0,1.0,179.0,174.0,84.0,10.0,11.0,1421.0,7.0,6.0,1.0,619.0,5.0,17.0,216.0,43.0,259.0,259.0,3.0,33.0,32.0,31.0,36.0,1.0,6.0,151.0,456.0,20.0,13.0,246.0,80.0,57.0,28.0,,30.0,30.0,240.0,417.0,43.0,4.0,109.0,,633.0,10.0,2.0,4.0,44.0,130.0,1057.0,8.0,8.0,15.0,4.0,13.0,6.0,31.0,3.0,3.0,10.0,,1.0,,,,,,1.0,,,2.0,,,1.0,,1.0,3.0,6.0,28.0,3.0,1.0,1.0,1.0,,1.0,28.0,1.0,4.0,1.0,1.0,1.0,,3.0,1.0,1.0,,2.0,5.0,,2.0,,,,,1.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2171,48281.0,Peter Whittingham,Peter,Whittingham,1984-09-08,England,England,11.0,M,Left/Centre Central Midfielder,22,371.0,503.0,59.0,34.0,56.0,22.0,19.0,623.0,22.0,92.0,1070.0,2.0,13.0,11.0,32.0,7.0,310.0,236.0,17.0,32.0,,15.0,6.0,40.0,,3.0,2.0,12.0,11.0,12.0,31.0,27.0,1.0,5.0,5.0,,5.0,210.0,155.0,12.0,51.0,13.0,26.0,114.0,24.0,13.0,33.0,92.0,81.0,12.0,68.0,221.0,4.0,18.0,52.0,428.0,30.0,55.0,47.0,8.0,1.0,35.0,33.0,33.0,,258.0,171.0,92.0,18.0,8.0,2661.0,28.0,26.0,16.0,1271.0,11.0,268.0,143.0,112.0,460.0,460.0,4.0,83.0,68.0,51.0,418.0,,17.0,284.0,1046.0,21.0,54.0,556.0,149.0,68.0,19.0,108.0,197.0,89.0,420.0,955.0,26.0,23.0,168.0,1.0,1314.0,46.0,2.0,2.0,39.0,2.0,1873.0,22.0,22.0,17.0,6.0,16.0,24.0,30.0,3.0,3.0,4.0,,2.0,8.0,,1.0,1.0,1.0,3.0,1.0,12.0,10.0,,,4.0,1.0,2.0,6.0,8.0,29.0,1.0,3.0,2.0,5.0,5.0,,29.0,1.0,4.0,2.0,6.0,,,2.0,,3.0,,,8.0,,4.0,3.0,1.0,,1.0,,,3.0,,,5.0,8.0,,,,,2.0,1.0,,3.0,1.0,,,2.0,,2.0,,,,,1.0,,,,,2.0,,,1.0,,5.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396,301494.0,Connor Wickham,Connor,Wickham,1993-03-31,England,England,19.0,F,Centre Striker,22,0.0,40.0,8.0,,1.0,1.0,,124.0,20.0,10.0,163.0,2.0,45.0,26.0,15.0,5.0,72.0,72.0,3.0,1.0,2.0,,5.0,7.0,,,1.0,3.0,2.0,2.0,6.0,20.0,3.0,15.0,2.0,2.0,,59.0,29.0,,8.0,10.0,4.0,,17.0,2.0,29.0,98.0,65.0,,8.0,24.0,6.0,16.0,,72.0,10.0,15.0,13.0,2.0,1.0,57.0,8.0,8.0,,43.0,23.0,13.0,9.0,1.0,848.0,3.0,2.0,9.0,229.0,1.0,35.0,53.0,22.0,158.0,158.0,5.0,4.0,20.0,8.0,64.0,,7.0,59.0,154.0,2.0,5.0,51.0,18.0,8.0,16.0,,19.0,19.0,103.0,206.0,,23.0,13.0,4.0,238.0,26.0,4.0,5.0,7.0,10.0,416.0,22.0,22.0,22.0,4.0,10.0,8.0,7.0,1.0,9.0,,,1.0,8.0,1.0,2.0,4.0,7.0,5.0,2.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,5.0,,5.0,2.0,1.0,1.0,1.0,5.0,,,,,,1.0,1.0,,,3.0,2.0,50.0,,1.0,5.0,1.0,1.0,,,,,1.0,,,,1.0,2.0,,,,3.0,,,,,3.0,,1.0,,,,1.0,,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
4366,132002.0,Aaron Wilbraham,Aaron,Wilbraham,1979-10-21,England,England,18.0,F,Centre Striker,22,66.0,9.0,,,,,,14.0,2.0,1.0,23.0,,4.0,7.0,4.0,1.0,8.0,9.0,1.0,,,,,,,,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,12.0,4.0,,1.0,,1.0,,,,4.0,12.0,9.0,,3.0,5.0,,3.0,,10.0,1.0,1.0,1.0,,,11.0,,,,8.0,4.0,2.0,1.0,,81.0,,1.0,2.0,36.0,,6.0,5.0,1.0,20.0,20.0,1.0,2.0,1.0,1.0,6.0,,1.0,8.0,23.0,1.0,1.0,9.0,,3.0,3.0,,,,17.0,27.0,1.0,2.0,2.0,3.0,36.0,3.0,1.0,3.0,,,54.0,2.0,2.0,1.0,3.0,2.0,1.0,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,1.0,,,,1.0,7.0,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,23719.0,Andy Wilkinson,Andy,Wilkinson,1984-08-06,England,England,,D,Right Full Back,22,0.0,36.0,3.0,,,,,30.0,,6.0,66.0,21.0,3.0,7.0,5.0,2.0,34.0,24.0,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,18.0,7.0,,5.0,,6.0,,4.0,2.0,1.0,16.0,16.0,,16.0,18.0,1.0,6.0,,31.0,2.0,9.0,6.0,3.0,,17.0,3.0,3.0,,32.0,17.0,8.0,3.0,1.0,274.0,,,1.0,86.0,1.0,1.0,30.0,5.0,40.0,40.0,1.0,3.0,3.0,5.0,5.0,,,13.0,66.0,5.0,,41.0,7.0,16.0,,,6.0,6.0,22.0,51.0,7.0,,13.0,,86.0,1.0,1.0,3.0,7.0,29.0,164.0,5.0,5.0,2.0,1.0,,,4.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,11.0,,,,,,,11.0,,,,,1.0,,2.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,287510.0,Jonathan Williams,Jonathan,Williams,1993-10-09,Wales,Wales,20.0,M,Left/Centre/Right Attacking Midfielder,22,0.0,29.0,1.0,,,,,38.0,5.0,,67.0,,1.0,1.0,9.0,,9.0,7.0,3.0,,,,,2.0,,,1.0,1.0,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,,20.0,19.0,1.0,4.0,1.0,6.0,4.0,4.0,2.0,5.0,18.0,21.0,1.0,6.0,9.0,2.0,2.0,2.0,19.0,,2.0,2.0,,1.0,4.0,1.0,1.0,,18.0,6.0,3.0,5.0,1.0,179.0,3.0,,2.0,79.0,1.0,15.0,7.0,7.0,40.0,40.0,3.0,7.0,9.0,4.0,26.0,,1.0,15.0,64.0,2.0,3.0,32.0,5.0,6.0,12.0,4.0,12.0,8.0,24.0,63.0,1.0,6.0,3.0,,83.0,4.0,,9.0,6.0,,145.0,2.0,2.0,7.0,3.0,7.0,,3.0,,2.0,,,,1.0,,,,,,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4024,139237.0,Mike Williamson,Mike,Williamson,1983-11-08,England,England,6.0,D,Central Defender,22,0.0,647.0,38.0,,,,,189.0,3.0,25.0,836.0,4.0,71.0,146.0,33.0,2.0,261.0,166.0,12.0,,,,4.0,2.0,,,2.0,1.0,1.0,,2.0,4.0,1.0,4.0,,1.0,,87.0,126.0,6.0,22.0,4.0,13.0,,5.0,,5.0,101.0,207.0,6.0,259.0,83.0,,16.0,,507.0,32.0,47.0,41.0,6.0,,214.0,40.0,40.0,1.0,308.0,239.0,120.0,17.0,28.0,2912.0,6.0,6.0,1.0,1053.0,18.0,7.0,104.0,22.0,245.0,245.0,,86.0,40.0,22.0,163.0,,5.0,59.0,826.0,9.0,12.0,714.0,71.0,259.0,4.0,,5.0,5.0,139.0,356.0,73.0,3.0,82.0,,1065.0,10.0,1.0,1.0,51.0,4.0,1517.0,4.0,4.0,13.0,13.0,4.0,7.0,37.0,,7.0,13.0,1.0,,7.0,,,3.0,3.0,,1.0,,3.0,,,3.0,,,8.0,3.0,149.0,2.0,,,,,,149.0,,8.0,32.0,,,,5.0,,,1.0,,11.0,1.0,,1.0,,,,1.0,1.0,1.0,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4748,188215.0,Willian,Willian,Borges da Silva,1988-08-09,Brazil,Brazil,12.0,F,Left/Centre/Right Winger,22,0.0,228.0,42.0,24.0,38.0,14.0,1.0,652.0,60.0,73.0,842.0,9.0,24.0,8.0,25.0,4.0,102.0,84.0,50.0,12.0,4.0,2.0,6.0,4.0,,5.0,4.0,9.0,11.0,6.0,27.0,42.0,11.0,39.0,7.0,,4.0,262.0,110.0,2.0,21.0,12.0,20.0,77.0,38.0,10.0,32.0,124.0,113.0,2.0,8.0,96.0,5.0,25.0,7.0,213.0,18.0,14.0,14.0,,2.0,30.0,17.0,17.0,,271.0,56.0,39.0,3.0,1.0,1677.0,28.0,36.0,16.0,960.0,,146.0,175.0,70.0,332.0,332.0,14.0,43.0,53.0,21.0,238.0,1.0,17.0,390.0,822.0,6.0,65.0,253.0,72.0,8.0,68.0,66.0,121.0,55.0,480.0,852.0,6.0,62.0,94.0,4.0,984.0,45.0,9.0,7.0,46.0,10.0,1419.0,29.0,29.0,21.0,17.0,38.0,13.0,35.0,3.0,4.0,3.0,1.0,,8.0,1.0,,2.0,3.0,2.0,6.0,1.0,3.0,,,4.0,2.0,1.0,3.0,5.0,3.0,,4.0,4.0,2.0,1.0,1.0,3.0,1.0,,,7.0,,,1.0,,1.0,,6.0,17.0,2.0,4.0,4.0,1.0,,,,1.0,2.0,4.0,,2.0,,2.0,2.0,,,1.0,4.0,2.0,,,,3.0,1.0,4.0,1.0,,,,2.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
3547,286498.0,Jack Wilshere,Jack,Wilshere,1992-01-01,England,England,11.0,M,Centre Central Midfielder,22,96.0,295.0,46.0,,3.0,3.0,,758.0,59.0,60.0,1050.0,3.0,7.0,4.0,24.0,10.0,107.0,110.0,29.0,,,,3.0,15.0,,1.0,,2.0,3.0,3.0,10.0,20.0,1.0,5.0,1.0,1.0,1.0,152.0,123.0,3.0,35.0,4.0,13.0,1.0,16.0,4.0,30.0,133.0,124.0,3.0,5.0,174.0,12.0,29.0,1.0,383.0,19.0,23.0,19.0,4.0,,37.0,10.0,10.0,,354.0,134.0,112.0,5.0,4.0,1719.0,8.0,25.0,8.0,1196.0,4.0,181.0,154.0,65.0,333.0,333.0,6.0,49.0,68.0,35.0,330.0,1.0,9.0,406.0,1028.0,6.0,33.0,315.0,80.0,5.0,99.0,1.0,22.0,21.0,527.0,926.0,4.0,60.0,70.0,5.0,1219.0,21.0,6.0,5.0,31.0,4.0,1586.0,40.0,40.0,44.0,16.0,45.0,12.0,27.0,6.0,6.0,,1.0,10.0,8.0,,,1.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,7.0,,1.0,5.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,,,9.0,,,4.0,3.0,,,1.0,15.0,1.0,30.0,2.0,1.0,1.0,1.0,,,2.0,,,,,2.0,,1.0,2.0,2.0,,1.0,,,,1.0,,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5562,281181.0,James Wilson,James,Wilson,1995-12-01,England,England,9.0,F,Centre Striker,22,0.0,1.0,,,,,,11.0,3.0,,12.0,,2.0,,1.0,1.0,,1.0,,,,,1.0,2.0,,,1.0,,,,,3.0,,2.0,,,,8.0,2.0,,2.0,1.0,,,,,,3.0,,,,1.0,,1.0,,2.0,1.0,1.0,,1.0,,2.0,,,,4.0,,,,,64.0,,,2.0,18.0,,3.0,4.0,,6.0,6.0,1.0,,1.0,2.0,4.0,,1.0,6.0,12.0,,,3.0,,,,,,,9.0,15.0,,5.0,,,18.0,4.0,1.0,,,,22.0,,,,1.0,,,,,,,,,2.0,,,,1.0,2.0,,,,,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3527,143268.0,Wilson Palacios,Wilson,Palacios,1984-07-29,Honduras,Honduras,8.0,M,Centre Defensive Midfielder,22,0.0,127.0,10.0,,,,,77.0,4.0,19.0,204.0,1.0,2.0,6.0,16.0,6.0,61.0,43.0,2.0,,,,,,,,,,,,,,,,,,,25.0,39.0,2.0,8.0,,17.0,,,1.0,4.0,33.0,42.0,2.0,8.0,28.0,,8.0,,65.0,5.0,11.0,9.0,2.0,,16.0,12.0,12.0,,79.0,24.0,13.0,6.0,2.0,514.0,1.0,1.0,,234.0,3.0,19.0,16.0,6.0,43.0,43.0,,18.0,21.0,8.0,69.0,,,20.0,200.0,5.0,2.0,142.0,18.0,8.0,4.0,,1.0,1.0,33.0,97.0,2.0,4.0,26.0,,238.0,,4.0,11.0,29.0,1.0,319.0,2.0,2.0,6.0,5.0,2.0,,21.0,3.0,,1.0,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,4.0,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
7488,90987.0,Harry Winks,Harry,Winks,1996-02-02,England,England,8.0,M,Centre Central Midfielder,22,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4130,304719.0,Andre Wisdom,Andre,Wisdom,1993-05-09,England,England,,D,Defender,22,0.0,11.0,,,,,,11.0,,,22.0,7.0,3.0,1.0,2.0,1.0,8.0,6.0,,,,,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,5.0,6.0,,1.0,,,,,,3.0,8.0,5.0,,5.0,4.0,,2.0,,18.0,1.0,2.0,2.0,,,1.0,,,,9.0,10.0,3.0,,,81.0,,,1.0,31.0,,1.0,10.0,,19.0,19.0,,6.0,,1.0,,,1.0,5.0,22.0,1.0,,16.0,1.0,5.0,1.0,,,,7.0,16.0,3.0,,4.0,,32.0,2.0,1.0,1.0,3.0,11.0,60.0,2.0,2.0,,1.0,1.0,,3.0,1.0,,,,,2.0,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3921,258374.0,Magnus Wolff Eikrem,Magnus,Wolff Eikrem,1990-08-08,Norway,Norway,7.0,M,Midfielder,22,0.0,41.0,10.0,6.0,12.0,6.0,2.0,87.0,1.0,14.0,116.0,,1.0,1.0,6.0,,29.0,15.0,6.0,6.0,,1.0,,1.0,,,,3.0,,1.0,4.0,4.0,1.0,5.0,1.0,,,11.0,14.0,1.0,4.0,5.0,4.0,10.0,1.0,5.0,,6.0,11.0,1.0,2.0,36.0,,1.0,3.0,48.0,1.0,8.0,6.0,2.0,,7.0,6.0,6.0,,41.0,29.0,16.0,4.0,1.0,198.0,6.0,7.0,1.0,141.0,,23.0,34.0,15.0,36.0,36.0,2.0,4.0,8.0,4.0,45.0,,,41.0,112.0,1.0,13.0,44.0,23.0,2.0,1.0,9.0,18.0,9.0,62.0,119.0,2.0,1.0,26.0,,145.0,6.0,,5.0,6.0,,190.0,,,3.0,1.0,1.0,,4.0,,,2.0,,,1.0,,,,2.0,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10479,313184.0,Freddie Woodman,Freddie,Woodman,1997-03-04,England,England,,G,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4125,28101.0,Cauley Woodrow,Cauley,Woodrow,1994-12-02,England,England,10.0,F,Centre Striker,22,0.0,32.0,2.0,,,,,103.0,6.0,3.0,135.0,,26.0,12.0,6.0,4.0,49.0,24.0,4.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,10.0,3.0,7.0,2.0,,,50.0,16.0,,4.0,4.0,4.0,,6.0,,12.0,50.0,23.0,,6.0,11.0,1.0,8.0,,32.0,5.0,10.0,8.0,2.0,,26.0,1.0,1.0,,37.0,14.0,12.0,3.0,,411.0,,4.0,4.0,152.0,,29.0,43.0,3.0,59.0,59.0,2.0,6.0,8.0,4.0,45.0,,2.0,56.0,123.0,3.0,4.0,38.0,3.0,6.0,6.0,,6.0,6.0,70.0,132.0,1.0,12.0,4.0,5.0,164.0,10.0,3.0,1.0,4.0,,229.0,10.0,10.0,3.0,2.0,5.0,4.0,3.0,,2.0,,,1.0,5.0,1.0,,1.0,3.0,1.0,2.0,,,,,,,,1.0,1.0,4.0,,1.0,1.0,,,,4.0,,,,1.0,,,2.0,,,1.0,1.0,12.0,,2.0,,,,1.0,,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
